materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,estado_real,prediccion_continua,posterior_0,posterior_1-2,posterior_3-5,posterior_6-11,posterior_12 o más,ess,n_train_fold,n_test_fold,evidencia_anio_que_cursa,evidencia_tamano_grupo,evidencia_participaciones_semana,evidencia_participaciones_semana_anterior
Computación Emergente,2526-3,anon_295,1,4,3.0,3-5,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_295,1,6,3.0,3-5,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_295,1,8,3.0,3-5,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,2,0
Computación Emergente,2526-3,anon_296,1,4,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_296,1,6,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_296,1,8,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_297,1,4,16.0,12 o más,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,1,2
Computación Emergente,2526-3,anon_297,1,6,16.0,12 o más,5.854780413116635,0.0003466204506065858,0.0003466204506065858,0.41629116117850956,0.5826689774696707,0.0003466204506065858,5,142,40,3,grande,0,1
Computación Emergente,2526-3,anon_297,1,8,16.0,12 o más,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,2,3 o más
Computación Emergente,2526-3,anon_298,1,4,6.0,6-11,4.080611771529831,5.480953685941354e-05,0.3157577418470814,0.38152918607837766,0.30260345300082214,5.480953685941354e-05,5,142,40,4,grande,0,1
Computación Emergente,2526-3,anon_298,1,6,6.0,6-11,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_298,1,8,6.0,6-11,4.080611771529831,5.480953685941354e-05,0.3157577418470814,0.38152918607837766,0.30260345300082214,5.480953685941354e-05,5,142,40,4,grande,0,1
Computación Emergente,2526-3,anon_299,1,4,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_299,1,6,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_299,1,8,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_300,1,4,27.0,12 o más,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,5 o más,grande,3 o más,3 o más
Computación Emergente,2526-3,anon_300,1,6,27.0,12 o más,8.116857905646832,0.0006920415224913494,0.0006920415224913494,0.3328719723183391,0.3328719723183391,0.3328719723183391,5,142,40,5 o más,grande,0,2
Computación Emergente,2526-3,anon_300,1,8,27.0,12 o más,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,5 o más,grande,3 o más,0
Computación Emergente,2526-3,anon_301,1,4,12.0,12 o más,10.164621423481528,0.0010362694300518132,0.0010362694300518132,0.0010362694300518132,0.49844559585492226,0.49844559585492226,5,142,40,5 o más,grande,2,1
Computación Emergente,2526-3,anon_301,1,6,12.0,12 o más,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_301,1,8,12.0,12 o más,7.23786630310179,0.0002190580503833516,0.0002190580503833516,0.5785323110624315,0.10536692223439213,0.31566265060240967,5,142,40,5 o más,grande,1,1
Computación Emergente,2526-3,anon_302,1,4,0.0,0,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_302,1,6,0.0,0,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_302,1,8,0.0,0,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_303,1,4,9.0,6-11,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,2,3 o más
Computación Emergente,2526-3,anon_303,1,6,9.0,6-11,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_303,1,8,9.0,6-11,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,1,2
Computación Emergente,2526-3,anon_174,1,4,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_174,1,6,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_174,1,8,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_304,1,4,0.0,0,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_304,1,6,0.0,0,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_304,1,8,0.0,0,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_305,1,4,12.0,12 o más,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,2,2
Computación Emergente,2526-3,anon_305,1,6,12.0,12 o más,5.854780413116635,0.0003466204506065858,0.0003466204506065858,0.41629116117850956,0.5826689774696707,0.0003466204506065858,5,142,40,3,grande,0,1
Computación Emergente,2526-3,anon_305,1,8,12.0,12 o más,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,0,2
Computación Emergente,2526-3,anon_306,1,4,11.0,6-11,6.023078068749147,0.0003780718336483932,0.0003780718336483932,0.3633270321361059,0.635538752362949,0.0003780718336483932,5,142,40,3,grande,1,0
