tratamiento,materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,prediccion_continua,evidencia_completa
nan,Algoritmos y Programación,2425-2,anon_042,2,6,8.0,1.4022119854307913,True
nan,Algoritmos y Programación,2425-2,anon_042,2,8,8.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_043,2,4,9.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_043,2,6,9.0,4.278994689443125,True
nan,Algoritmos y Programación,2425-2,anon_043,2,8,9.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_044,2,4,13.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_044,2,6,13.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_044,2,8,13.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_045,2,4,10.0,9.193987836941117,True
nan,Algoritmos y Programación,2425-2,anon_045,2,6,10.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_045,2,8,10.0,14.620721901457234,True
nan,Algoritmos y Programación,2425-2,anon_046,2,4,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_046,2,6,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_046,2,8,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_047,2,4,5.0,7.642953842709721,True
nan,Algoritmos y Programación,2425-2,anon_047,2,6,5.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_047,2,8,5.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_048,2,4,3.0,1.4022119854307913,True
nan,Algoritmos y Programación,2425-2,anon_048,2,6,3.0,4.278994689443125,True
nan,Algoritmos y Programación,2425-2,anon_048,2,8,3.0,4.278994689443125,True
nan,Algoritmos y Programación,2425-2,anon_049,2,4,1.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_049,2,6,1.0,1.4022119854307913,True
nan,Algoritmos y Programación,2425-2,anon_049,2,8,1.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_050,2,4,3.0,4.278994689443125,True
nan,Algoritmos y Programación,2425-2,anon_050,2,6,3.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_050,2,8,3.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_051,2,4,2.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_051,2,6,2.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_051,2,8,2.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_052,2,4,17.0,10.66366549128459,True
nan,Algoritmos y Programación,2425-2,anon_052,2,6,17.0,9.067694765911643,True
nan,Algoritmos y Programación,2425-2,anon_052,2,8,17.0,9.067694765911643,True
nan,Algoritmos y Programación,2425-2,anon_053,2,4,3.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_053,2,6,3.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_053,2,8,3.0,7.642953842709721,True
nan,Algoritmos y Programación,2425-2,anon_054,2,4,3.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_054,2,6,3.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_054,2,8,3.0,4.1689449899151345,True
nan,Algoritmos y Programación,2425-2,anon_055,2,4,10.0,7.642953842709721,True
nan,Algoritmos y Programación,2425-2,anon_055,2,6,10.0,7.088301723207444,True
nan,Algoritmos y Programación,2425-2,anon_055,2,8,10.0,7.642953842709721,True
nan,Algoritmos y Programación,2425-2,anon_056,2,4,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_056,2,6,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_056,2,8,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_057,2,4,11.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_057,2,6,11.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_057,2,8,11.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_058,2,4,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_058,2,6,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_058,2,8,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_059,2,4,5.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_059,2,6,5.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_059,2,8,5.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_060,2,4,2.0,1.4022119854307913,True
nan,Algoritmos y Programación,2425-2,anon_060,2,6,2.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_060,2,8,2.0,1.4022119854307913,True
dropna,Algoritmos y Programación,2425-2,anon_001,1,4,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_001,1,6,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_001,1,8,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_002,1,4,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_002,1,6,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_002,1,8,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_003,1,4,17.0,8.677506321734416,True
dropna,Algoritmos y Programación,2425-2,anon_003,1,6,17.0,9.067694765911643,True
dropna,Algoritmos y Programación,2425-2,anon_003,1,8,17.0,8.672535372959825,True
dropna,Algoritmos y Programación,2425-2,anon_004,1,4,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_004,1,6,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_004,1,8,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_005,1,4,10.0,6.892618631739804,True
dropna,Algoritmos y Programación,2425-2,anon_005,1,6,10.0,6.666761295024926,True
